FREQ,Frequenza,REF_AREA,Territorio,DATA_TYPE,Indicatore,MEASURE,Misura,TIME_PERIOD,Osservazione,OBS_STATUS,'Stato dell"'osservazione'
A,Annuale,IT,Italia,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,80.7,,
A,Annuale,IT,Italia,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,80.1,,
A,Annuale,IT,Italia,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,39.6,,
A,Annuale,IT,Italia,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,37.7,,
A,Annuale,IT,Italia,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,71.5,,
A,Annuale,IT,Italia,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,71.1,,
A,Annuale,IT,Italia,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,7.6,,
A,Annuale,IT,Italia,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,8.0,,
A,Annuale,IT,Italia,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2024,2.5,,
A,Annuale,IT,Italia,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2025,2.3,,
A,Annuale,IT,Italia,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2024,1.4,,
A,Annuale,IT,Italia,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2025,1.3,,
A,Annuale,IT,Italia,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2024,10.6,,
A,Annuale,IT,Italia,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,10.7,,
A,Annuale,IT,Italia,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,63.3,,
A,Annuale,IT,Italia,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2025,61.8,,
A,Annuale,IT,Italia,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2024,23.4,,
A,Annuale,IT,Italia,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2025,24.4,,
A,Annuale,ITCD,Nord,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,81.6,,
A,Annuale,ITCD,Nord,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,81.5,,
A,Annuale,ITCD,Nord,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,37.2,,
A,Annuale,ITCD,Nord,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,35.4,,
A,Annuale,ITCD,Nord,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,66.0,,
A,Annuale,ITCD,Nord,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,65.0,,
A,Annuale,ITCD,Nord,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,10.3,,
A,Annuale,ITCD,Nord,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,10.8,,
A,Annuale,ITCD,Nord,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2024,3.6,,
A,Annuale,ITCD,Nord,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2025,3.4,,
A,Annuale,ITCD,Nord,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2024,1.6,,
A,Annuale,ITCD,Nord,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2025,1.4,,
A,Annuale,ITCD,Nord,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2024,11.9,,
A,Annuale,ITCD,Nord,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,12.2,,
A,Annuale,ITCD,Nord,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,60.6,,
A,Annuale,ITCD,Nord,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2025,59.3,,
A,Annuale,ITCD,Nord,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2024,27.1,,
A,Annuale,ITCD,Nord,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2025,28.3,,
A,Annuale,ITC,Nord-ovest,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,81.1,,
A,Annuale,ITC,Nord-ovest,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,80.8,,
A,Annuale,ITC,Nord-ovest,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,37.6,,
A,Annuale,ITC,Nord-ovest,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,35.8,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,64.5,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,64.2,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,10.3,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,10.7,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2024,3.7,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2025,3.5,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2024,1.9,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2025,1.7,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2024,12.9,,
A,Annuale,ITC,Nord-ovest,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,12.6,,
A,Annuale,ITC,Nord-ovest,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,59.2,,
A,Annuale,ITC,Nord-ovest,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2025,57.8,,
A,Annuale,ITC,Nord-ovest,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2024,28.6,,
A,Annuale,ITC,Nord-ovest,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2025,29.8,,
A,Annuale,ITC1,Piemonte,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,81.8,,
A,Annuale,ITC1,Piemonte,3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,80.8,,
A,Annuale,ITC1,Piemonte,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,37.2,,
A,Annuale,ITC1,Piemonte,3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,35.8,,
A,Annuale,ITC1,Piemonte,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,64.6,,
A,Annuale,ITC1,Piemonte,3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,64.8,,
A,Annuale,ITC1,Piemonte,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,10.2,,
A,Annuale,ITC1,Piemonte,3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,11.1,,
A,Annuale,ITC1,Piemonte,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2024,2.3,,
A,Annuale,ITC1,Piemonte,3_LUNCH_REST,Persone di 3 anni e più per stile alimentare: pranzo al ristorante o trattoria,HSC,Per 100 persone con le stesse caratteristiche,2025,2.8,,
A,Annuale,ITC1,Piemonte,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2024,2.4,,
A,Annuale,ITC1,Piemonte,3_LUNCH_CAF,Persone di 3 anni e più per stile alimentare: pranzo al bar,HSC,Per 100 persone con le stesse caratteristiche,2025,1.8,,
A,Annuale,ITC1,Piemonte,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2024,13.2,,
A,Annuale,ITC1,Piemonte,3_LUNCH_WORK,Persone di 3 anni e più per stile alimentare: pranzo sul posto di lavoro,HSC,Per 100 persone con le stesse caratteristiche,2025,12.1,,
A,Annuale,ITC1,Piemonte,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2024,58.0,,
A,Annuale,ITC1,Piemonte,3_MMEAL_LUNCH,Persone di 3 anni e più per stile alimentare: pasto principale il pranzo,HSC,Per 100 persone con le stesse caratteristiche,2025,55.1,,
A,Annuale,ITC1,Piemonte,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2024,30.2,,
A,Annuale,ITC1,Piemonte,3_MMEAL_DIN,Persone di 3 anni e più per stile alimentare: pasto principale la cena,HSC,Per 100 persone con le stesse caratteristiche,2025,32.3,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2024,82.7,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_ADEQ_BREAK,Persone di 3 anni e più per stile alimentare: colazione adeguata (con latte e/o del cibo),HSC,Per 100 persone con le stesse caratteristiche,2025,81.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2024,33.3,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_MILK_BREAK,Persone di 3 anni e più per stile alimentare: colazione con latte e del cibo,HSC,Per 100 persone con le stesse caratteristiche,2025,38.4,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2024,68.4,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_LUNCH_HOME,Persone di 3 anni e più per stile alimentare: pranzo in casa,HSC,Per 100 persone con le stesse caratteristiche,2025,61.6,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2024,11.4,,
A,Annuale,ITC2,'Valle d"'Aosta / Vallée d"'Aoste',3_LUNCH_CANT,Persone di 3 anni e più per stile alimentare: pranzo in mensa,HSC,Per 100 persone con le stesse caratteristiche,2025,10.2,,
